account_id,user_id,username,bank_name,account_type,currency,balance
acc_000001,1,melike,Garanti,current,TRY,10000.0
acc_000002,1,melike,Ziraat,current,TRY,4000.0
acc_000002_1,2,onur0002,VakıfBank,current,TRY,5727.31
acc_000003_1,3,yaren0003,İş Bankası,current,TRY,5065.37
acc_000004_1,4,tolga0004,Akbank,current,TRY,1213.09
acc_000004_2,4,tolga0004,Enpara,savings,TRY,2005.06
acc_000005_1,5,yigit0005,VakıfBank,current,TRY,4725.75
acc_000005_2,5,yigit0005,Ziraat,savings,TRY,0.0
acc_000006_1,6,fatma0006,Ziraat,current,TRY,5611.3
acc_000007_1,7,leyla0007,İş Bankası,current,TRY,5108.86
acc_000008_1,8,onur0008,TEB,savings,TRY,5296.12
acc_000009_1,9,pinar0009,Ziraat,savings,TRY,628.56
acc_000009_2,9,pinar0009,İş Bankası,savings,TRY,871.6
acc_000009_3,9,pinar0009,TEB,current,TRY,1797.55
acc_000010_1,10,tolga0010,Halkbank,savings,TRY,5644.43
acc_000010_2,10,tolga0010,Ziraat,current,TRY,551.71
acc_000010_3,10,tolga0010,Enpara,current,TRY,837.31
acc_000011_1,11,yigit0011,Yapı Kredi,current,TRY,5109.94
acc_000012_1,12,melike0012,Enpara,savings,TRY,83.19
acc_000012_2,12,melike0012,Garanti,current,TRY,3401.07
acc_000013_1,13,onur0013,Halkbank,savings,TRY,575.61
acc_000013_2,13,onur0013,Garanti,current,TRY,1811.36
acc_000014_1,14,hilal0014,Garanti,savings,TRY,2723.12
acc_000014_2,14,hilal0014,Yapı Kredi,savings,TRY,0.0
acc_000014_3,14,hilal0014,DenizBank,savings,TRY,851.37
acc_000015_1,15,pinar0015,Akbank,savings,TRY,3611.22
acc_000016_1,16,i̇rem0016,DenizBank,current,TRY,5370.79
acc_000017_1,17,can0017,Enpara,current,TRY,1493.02
acc_000017_2,17,can0017,Halkbank,savings,TRY,764.89
acc_000017_3,17,can0017,VakıfBank,savings,TRY,1322.29
acc_000018_1,18,kerem0018,DenizBank,current,TRY,4994.87
acc_000019_1,19,mehmet0019,Halkbank,current,TRY,2974.61
acc_000019_2,19,mehmet0019,TEB,savings,TRY,548.92
acc_000020_1,20,yasemin0020,Yapı Kredi,current,TRY,3018.68
acc_000021_1,21,ayse0021,Halkbank,current,TRY,720.6
acc_000021_2,21,ayse0021,Yapı Kredi,savings,TRY,2600.18
acc_000022_1,22,mert0022,Ziraat,savings,TRY,1824.71
acc_000022_2,22,mert0022,VakıfBank,current,TRY,2516.43
acc_000023_1,23,selin0023,Halkbank,current,TRY,3120.44
acc_000024_1,24,elif0024,Akbank,savings,TRY,3934.24
acc_000025_1,25,umut0025,TEB,savings,TRY,5662.03
acc_000026_1,26,pinar0026,Garanti,current,TRY,899.86
acc_000026_2,26,pinar0026,Enpara,savings,TRY,603.74
acc_000026_3,26,pinar0026,TEB,current,TRY,1665.18
acc_000027_1,27,hakan0027,İş Bankası,current,TRY,5469.12
acc_000028_1,28,hakan0028,Ziraat,current,TRY,345.11
acc_000028_2,28,hakan0028,TEB,savings,TRY,1893.8
acc_000029_1,29,burak0029,Enpara,current,TRY,3172.18
acc_000029_2,29,burak0029,Akbank,savings,TRY,560.93
acc_000029_3,29,burak0029,Garanti,current,TRY,1648.04
acc_000030_1,30,naz0030,Ziraat,savings,TRY,2876.35
acc_000030_2,30,naz0030,Yapı Kredi,savings,TRY,3904.27
acc_000031_1,31,emre0031,VakıfBank,savings,TRY,3749.28
acc_000031_2,31,emre0031,Halkbank,current,TRY,332.63
acc_000031_3,31,emre0031,Enpara,savings,TRY,0.0
acc_000032_1,32,yaren0032,DenizBank,savings,TRY,2354.91
acc_000032_2,32,yaren0032,Yapı Kredi,current,TRY,4249.6
acc_000033_1,33,mehmet0033,VakıfBank,current,TRY,5726.18
acc_000034_1,34,onur0034,İş Bankası,current,TRY,1389.39
acc_000034_2,34,onur0034,VakıfBank,current,TRY,3077.29
acc_000035_1,35,sila0035,DenizBank,savings,TRY,1813.85
acc_000035_2,35,sila0035,TEB,savings,TRY,1628.82
acc_000035_3,35,sila0035,VakıfBank,current,TRY,629.5
acc_000036_1,36,elif0036,VakıfBank,current,TRY,777.0
acc_000036_2,36,elif0036,İş Bankası,current,TRY,1214.94
acc_000036_3,36,elif0036,Garanti,current,TRY,2935.09
acc_000037_1,37,ayse0037,Enpara,savings,TRY,696.75
acc_000037_2,37,ayse0037,İş Bankası,savings,TRY,4842.31
acc_000038_1,38,eda0038,DenizBank,savings,TRY,2111.43
acc_000039_1,39,yasemin0039,VakıfBank,savings,TRY,680.01
acc_000039_2,39,yasemin0039,Garanti,current,TRY,2457.29
acc_000039_3,39,yasemin0039,İş Bankası,current,TRY,0.0
acc_000040_1,40,tolga0040,İş Bankası,savings,TRY,0.0
acc_000040_2,40,tolga0040,Yapı Kredi,savings,TRY,2245.98
acc_000040_3,40,tolga0040,Halkbank,current,TRY,3156.47
acc_000041_1,41,onur0041,DenizBank,current,TRY,2847.56
acc_000041_2,41,onur0041,Akbank,current,TRY,243.83
acc_000041_3,41,onur0041,Ziraat,savings,TRY,281.22
acc_000042_1,42,pinar0042,TEB,savings,TRY,640.0
acc_000042_2,42,pinar0042,DenizBank,savings,TRY,4015.44
acc_000043_1,43,i̇rem0043,Ziraat,current,TRY,5942.32
acc_000044_1,44,i̇rem0044,DenizBank,current,TRY,0.0
acc_000044_2,44,i̇rem0044,İş Bankası,savings,TRY,373.13
acc_000044_3,44,i̇rem0044,Yapı Kredi,savings,TRY,1214.8
acc_000045_1,45,hakan0045,VakıfBank,current,TRY,3045.21
acc_000045_2,45,hakan0045,Yapı Kredi,current,TRY,1015.87
acc_000045_3,45,hakan0045,Enpara,current,TRY,358.09
acc_000046_1,46,omer0046,Halkbank,current,TRY,3095.21
acc_000046_2,46,omer0046,VakıfBank,current,TRY,1634.14
acc_000047_1,47,sila0047,Akbank,savings,TRY,5209.19
acc_000048_1,48,murat0048,TEB,savings,TRY,696.19
acc_000048_2,48,murat0048,Halkbank,savings,TRY,4568.9
acc_000048_3,48,murat0048,İş Bankası,savings,TRY,0.0
acc_000049_1,49,eda0049,Halkbank,savings,TRY,5614.98
acc_000050_1,50,selin0050,DenizBank,current,TRY,3615.93
acc_000051_1,51,onur0051,Akbank,savings,TRY,1186.46
acc_000051_2,51,onur0051,Ziraat,savings,TRY,351.31
acc_000051_3,51,onur0051,VakıfBank,savings,TRY,2337.08
acc_000052_1,52,nisa0052,DenizBank,savings,TRY,1965.81
acc_000052_2,52,nisa0052,TEB,current,TRY,1880.25
acc_000053_1,53,pinar0053,Yapı Kredi,current,TRY,553.05
acc_000053_2,53,pinar0053,Garanti,savings,TRY,2272.35
acc_000053_3,53,pinar0053,Halkbank,current,TRY,853.72
acc_000054_1,54,burak0054,Garanti,current,TRY,73.73
acc_000054_2,54,burak0054,VakıfBank,current,TRY,772.73
acc_000054_3,54,burak0054,DenizBank,savings,TRY,1971.34
acc_000055_1,55,can0055,DenizBank,current,TRY,0.0
