user_id,username,customer_age,income,employment_status,housing_status,credit_risk_score,bank_months_count,has_other_cards,email_is_free,email,first_name,last_name,full_name
1,melike,30,0.2,CA,BC,88,-1,0,0,melike.yilmaz@sandbox.opba.com,Melike,Yılmaz,Melike Yılmaz
2,onur0002,30,0.7000000000000001,CB,BC,123,11,0,1,onur.kaplan@sandbox.opba.com,Onur,Kaplan,Onur Kaplan
3,yaren0003,40,0.9,CA,BC,142,11,1,1,yaren.kilic@sandbox.opba.com,Yaren,Kılıç,Yaren Kılıç
4,tolga0004,40,0.7000000000000001,CB,BA,11,1,0,0,tolga.aksoy@sandbox.opba.com,Tolga,Aksoy,Tolga Aksoy
5,yigit0005,70,0.9,CF,BC,133,10,0,1,yigit.ozkan@sandbox.opba.com,Yiğit,Özkan,Yiğit Özkan
6,fatma0006,30,0.7000000000000001,CF,BA,194,1,0,0,fatma.kaplan@sandbox.opba.com,Fatma,Kaplan,Fatma Kaplan
7,leyla0007,40,0.6000000000000001,CA,BC,57,-1,0,0,leyla.demir@sandbox.opba.com,Leyla,Demir,Leyla Demir
8,onur0008,30,0.9,CB,BB,251,-1,0,0,onur.arslan@sandbox.opba.com,Onur,Arslan,Onur Arslan
9,pinar0009,30,0.4,CA,BB,58,-1,0,0,pinar.bozkurt@sandbox.opba.com,Pınar,Bozkurt,Pınar Bozkurt
10,tolga0010,20,0.8,CA,BB,177,1,0,1,tolga.polat@sandbox.opba.com,Tolga,Polat,Tolga Polat
11,yigit0011,50,0.9,CE,BB,206,5,1,0,yigit.aydin@sandbox.opba.com,Yiğit,Aydın,Yiğit Aydın
12,melike0012,30,0.5,CA,BB,49,15,0,1,melike.kilic@sandbox.opba.com,Melike,Kılıç,Melike Kılıç
13,onur0013,20,0.1,CA,BC,14,-1,1,1,onur.yildirim@sandbox.opba.com,Onur,Yıldırım,Onur Yıldırım
14,hilal0014,40,0.6000000000000001,CA,BC,139,-1,0,0,hilal.yildiz@sandbox.opba.com,Hilal,Yıldız,Hilal Yıldız
15,pinar0015,50,0.5,CA,BA,178,28,1,1,pinar.celik@sandbox.opba.com,Pınar,Çelik,Pınar Çelik
16,i̇rem0016,30,0.9,CA,BC,215,1,0,0,irem.kaplan@sandbox.opba.com,İrem,Kaplan,İrem Kaplan
17,can0017,20,0.5,CA,BE,163,1,0,0,can.aslan@sandbox.opba.com,Can,Aslan,Can Aslan
18,kerem0018,20,0.5,CA,BE,48,30,0,1,kerem.kaya@sandbox.opba.com,Kerem,Kaya,Kerem Kaya
19,mehmet0019,10,0.1,CE,BE,93,1,0,0,mehmet.kara@sandbox.opba.com,Mehmet,Kara,Mehmet Kara
20,yasemin0020,40,0.3,CA,BC,205,20,0,1,yasemin.aydin@sandbox.opba.com,Yasemin,Aydın,Yasemin Aydın
21,ayse0021,30,0.4,CB,BE,120,31,0,0,ayse.yildirim@sandbox.opba.com,Ayşe,Yıldırım,Ayşe Yıldırım
22,mert0022,20,0.5,CA,BE,114,-1,0,1,mert.yildirim@sandbox.opba.com,Mert,Yıldırım,Mert Yıldırım
23,selin0023,30,0.1,CA,BC,56,28,0,1,selin.ozdemir@sandbox.opba.com,Selin,Özdemir,Selin Özdemir
24,elif0024,50,0.6000000000000001,CA,BA,210,10,0,1,elif.ozdemir@sandbox.opba.com,Elif,Özdemir,Elif Özdemir
25,umut0025,20,0.9,CA,BA,229,28,0,1,umut.bulut@sandbox.opba.com,Umut,Bulut,Umut Bulut
26,pinar0026,30,0.3,CB,BB,-14,-1,0,1,pinar.sahin@sandbox.opba.com,Pınar,Şahin,Pınar Şahin
27,hakan0027,40,0.9,CA,BC,48,10,0,1,hakan.kara@sandbox.opba.com,Hakan,Kara,Hakan Kara
28,hakan0028,20,0.1,CA,BD,35,10,0,1,hakan.aydin@sandbox.opba.com,Hakan,Aydın,Hakan Aydın
29,burak0029,40,0.5,CF,BB,13,-1,0,1,burak.kara@sandbox.opba.com,Burak,Kara,Burak Kara
30,naz0030,30,0.9,CB,BC,86,9,1,1,naz.sari@sandbox.opba.com,Naz,Sarı,Naz Sarı
31,emre0031,30,0.8,CA,BA,188,2,1,0,emre.bozkurt@sandbox.opba.com,Emre,Bozkurt,Emre Bozkurt
32,yaren0032,30,0.9,CA,BA,233,28,1,1,yaren.tas@sandbox.opba.com,Yaren,Taş,Yaren Taş
33,mehmet0033,50,0.9,CA,BA,252,1,1,0,mehmet.eren@sandbox.opba.com,Mehmet,Eren,Mehmet Eren
34,onur0034,20,0.9,CB,BA,217,21,0,1,onur.aydin@sandbox.opba.com,Onur,Aydın,Onur Aydın
35,sila0035,30,0.3,CA,BB,167,1,0,1,sila.koc@sandbox.opba.com,Sıla,Koç,Sıla Koç
36,elif0036,40,0.4,CE,BE,193,1,1,0,elif.aksoy@sandbox.opba.com,Elif,Aksoy,Elif Aksoy
37,ayse0037,30,0.9,CA,BC,153,15,1,1,ayse.tas@sandbox.opba.com,Ayşe,Taş,Ayşe Taş
38,eda0038,50,0.1,CA,BE,94,11,1,0,eda.ozdemir@sandbox.opba.com,Eda,Özdemir,Eda Özdemir
39,yasemin0039,20,0.3,CA,BE,258,30,1,1,yasemin.ozkan@sandbox.opba.com,Yasemin,Özkan,Yasemin Özkan
40,tolga0040,50,0.9,CA,BC,131,1,0,1,tolga.ozkan@sandbox.opba.com,Tolga,Özkan,Tolga Özkan
41,onur0041,40,0.1,CA,BE,43,26,0,1,onur.kilic@sandbox.opba.com,Onur,Kılıç,Onur Kılıç
42,pinar0042,20,0.5,CA,BE,80,1,0,0,pinar.cetin@sandbox.opba.com,Pınar,Çetin,Pınar Çetin
43,i̇rem0043,50,0.9,CA,BA,141,31,0,0,irem.arslan@sandbox.opba.com,İrem,Arslan,İrem Arslan
44,i̇rem0044,50,0.1,CA,BA,98,-1,0,1,irem.aksoy@sandbox.opba.com,İrem,Aksoy,İrem Aksoy
45,hakan0045,40,0.4,CA,BB,120,21,1,1,hakan.kara@sandbox.opba.com,Hakan,Kara,Hakan Kara
46,omer0046,30,0.6000000000000001,CA,BC,162,1,1,0,omer.kurt@sandbox.opba.com,Ömer,Kurt,Ömer Kurt
47,sila0047,30,0.7000000000000001,CA,BA,75,-1,0,0,sila.kara@sandbox.opba.com,Sıla,Kara,Sıla Kara
48,murat0048,40,0.9,CA,BC,271,-1,0,1,murat.ozturk@sandbox.opba.com,Murat,Öztürk,Murat Öztürk
49,eda0049,40,0.9,CA,BC,262,5,1,1,eda.kaplan@sandbox.opba.com,Eda,Kaplan,Eda Kaplan
50,selin0050,40,0.8,CA,BA,185,31,0,0,selin.kurt@sandbox.opba.com,Selin,Kurt,Selin Kurt
51,onur0051,30,0.5,CA,BE,110,20,0,0,onur.kaplan@sandbox.opba.com,Onur,Kaplan,Onur Kaplan
52,nisa0052,50,0.9,CB,BC,233,15,1,1,nisa.yildirim@sandbox.opba.com,Nisa,Yıldırım,Nisa Yıldırım
53,pinar0053,50,0.1,CC,BB,262,1,1,0,pinar.bozkurt@sandbox.opba.com,Pınar,Bozkurt,Pınar Bozkurt
54,burak0054,30,0.6000000000000001,CA,BB,72,-1,1,1,burak.arslan@sandbox.opba.com,Burak,Arslan,Burak Arslan
55,can0055,20,0.1,CA,BC,10,5,0,1,can.arslan@sandbox.opba.com,Can,Arslan,Can Arslan
56,melike0056,30,0.8,CA,BA,-62,30,0,1,melike.gunes@sandbox.opba.com,Melike,Güneş,Melike Güneş
57,can0057,50,0.1,CB,BC,82,-1,0,1,can.tas@sandbox.opba.com,Can,Taş,Can Taş
58,mehmet0058,50,0.4,CA,BD,123,-1,0,1,mehmet.kaplan@sandbox.opba.com,Mehmet,Kaplan,Mehmet Kaplan
59,ahmet0059,40,0.8,CA,BB,112,-1,0,0,ahmet.sari@sandbox.opba.com,Ahmet,Sarı,Ahmet Sarı
60,fatma0060,20,0.6000000000000001,CF,BB,148,20,0,0,fatma.bozkurt@sandbox.opba.com,Fatma,Bozkurt,Fatma Bozkurt
61,kadir0061,30,0.8,CA,BC,116,10,0,1,kadir.simsek@sandbox.opba.com,Kadir,Şimşek,Kadir Şimşek
62,tolga0062,20,0.3,CA,BB,118,31,0,0,tolga.kilic@sandbox.opba.com,Tolga,Kılıç,Tolga Kılıç
63,sila0063,30,0.7000000000000001,CA,BC,117,-1,0,1,sila.celik@sandbox.opba.com,Sıla,Çelik,Sıla Çelik
64,deniz0064,20,0.1,CA,BC,24,1,0,0,deniz.kilic@sandbox.opba.com,Deniz,Kılıç,Deniz Kılıç
65,tolga0065,30,0.7000000000000001,CA,BE,8,1,0,0,tolga.arslan@sandbox.opba.com,Tolga,Arslan,Tolga Arslan
66,yigit0066,30,0.2,CA,BC,112,20,0,1,yigit.ozcan@sandbox.opba.com,Yiğit,Özcan,Yiğit Özcan
67,zeynep0067,30,0.9,CA,BE,182,-1,0,0,zeynep.kurt@sandbox.opba.com,Zeynep,Kurt,Zeynep Kurt
68,tugce0068,20,0.1,CA,BB,133,15,1,1,tugce.sahin@sandbox.opba.com,Tuğçe,Şahin,Tuğçe Şahin
69,deniz0069,50,0.9,CB,BB,199,-1,1,1,deniz.kara@sandbox.opba.com,Deniz,Kara,Deniz Kara
70,dilan0070,40,0.5,CA,BB,135,4,0,1,dilan.ozkan@sandbox.opba.com,Dilan,Özkan,Dilan Özkan
71,yigit0071,30,0.1,CB,BB,158,15,0,1,yigit.simsek@sandbox.opba.com,Yiğit,Şimşek,Yiğit Şimşek
72,selin0072,20,0.2,CA,BE,54,30,0,0,selin.kaya@sandbox.opba.com,Selin,Kaya,Selin Kaya
73,oguz0073,40,0.8,CA,BA,124,31,0,0,oguz.demir@sandbox.opba.com,Oğuz,Demir,Oğuz Demir
74,yaren0074,40,0.8,CD,BB,206,6,1,1,yaren.yildiz@sandbox.opba.com,Yaren,Yıldız,Yaren Yıldız
75,pinar0075,40,0.4,CA,BB,289,1,0,1,pinar.aksoy@sandbox.opba.com,Pınar,Aksoy,Pınar Aksoy
76,kadir0076,40,0.5,CF,BB,86,12,1,1,kadir.kaplan@sandbox.opba.com,Kadir,Kaplan,Kadir Kaplan
77,cenk0077,30,0.8,CB,BC,145,1,0,0,cenk.aslan@sandbox.opba.com,Cenk,Aslan,Cenk Aslan
78,yasemin0078,60,0.6000000000000001,CF,BB,282,-1,0,0,yasemin.kaplan@sandbox.opba.com,Yasemin,Kaplan,Yasemin Kaplan
79,tugce0079,20,0.9,CB,BC,92,-1,0,0,tugce.ozkan@sandbox.opba.com,Tuğçe,Özkan,Tuğçe Özkan
80,mert0080,70,0.9,CA,BA,287,1,0,1,mert.celik@sandbox.opba.com,Mert,Çelik,Mert Çelik
81,eda0081,50,0.9,CA,BA,359,-1,0,0,eda.tas@sandbox.opba.com,Eda,Taş,Eda Taş
82,zeynep0082,50,0.8,CA,BA,243,2,0,1,zeynep.ozcan@sandbox.opba.com,Zeynep,Özcan,Zeynep Özcan
83,hilal0083,30,0.8,CA,BC,100,-1,0,1,hilal.kurt@sandbox.opba.com,Hilal,Kurt,Hilal Kurt
84,naz0084,50,0.4,CA,BA,97,28,0,0,naz.simsek@sandbox.opba.com,Naz,Şimşek,Naz Şimşek
85,ayse0085,40,0.8,CA,BA,77,1,0,1,ayse.kaplan@sandbox.opba.com,Ayşe,Kaplan,Ayşe Kaplan
86,esra0086,30,0.1,CA,BB,123,28,0,1,esra.yildiz@sandbox.opba.com,Esra,Yıldız,Esra Yıldız
87,hilal0087,50,0.1,CC,BB,191,-1,0,1,hilal.sari@sandbox.opba.com,Hilal,Sarı,Hilal Sarı
88,hilal0088,50,0.1,CA,BB,177,31,0,1,hilal.dogan@sandbox.opba.com,Hilal,Doğan,Hilal Doğan
89,naz0089,40,0.9,CA,BA,107,-1,0,1,naz.eren@sandbox.opba.com,Naz,Eren,Naz Eren
90,volkan0090,40,0.9,CA,BA,150,28,0,1,volkan.aydin@sandbox.opba.com,Volkan,Aydın,Volkan Aydın
91,omer0091,30,0.4,CA,BD,167,28,0,1,omer.ozturk@sandbox.opba.com,Ömer,Öztürk,Ömer Öztürk
92,selin0092,30,0.5,CA,BB,185,27,0,1,selin.kaya@sandbox.opba.com,Selin,Kaya,Selin Kaya
93,yasemin0093,30,0.8,CA,BD,61,-1,0,0,yasemin.polat@sandbox.opba.com,Yasemin,Polat,Yasemin Polat
94,leyla0094,40,0.9,CA,BE,181,30,0,0,leyla.dogan@sandbox.opba.com,Leyla,Doğan,Leyla Doğan
95,cenk0095,40,0.2,CF,BB,105,28,0,0,cenk.aslan@sandbox.opba.com,Cenk,Aslan,Cenk Aslan
96,rabia0096,30,0.9,CB,BA,95,1,0,1,rabia.kaplan@sandbox.opba.com,Rabia,Kaplan,Rabia Kaplan
97,melike0097,20,0.3,CE,BE,44,28,0,1,melike.arslan@sandbox.opba.com,Melike,Arslan,Melike Arslan
98,oguz0098,60,0.6000000000000001,CC,BB,86,28,0,1,oguz.aksoy@sandbox.opba.com,Oğuz,Aksoy,Oğuz Aksoy
99,umut0099,30,0.7000000000000001,CA,BC,240,-1,0,0,umut.kurt@sandbox.opba.com,Umut,Kurt,Umut Kurt
100,rabia0100,20,0.6000000000000001,CA,BC,150,21,1,0,rabia.sahin@sandbox.opba.com,Rabia,Şahin,Rabia Şahin
101,murat0101,30,0.8,CA,BC,69,10,0,1,murat.ozturk@sandbox.opba.com,Murat,Öztürk,Murat Öztürk
102,ahmet0102,40,0.9,CB,BA,292,1,0,1,ahmet.sahin@sandbox.opba.com,Ahmet,Şahin,Ahmet Şahin
103,mert0103,40,0.7000000000000001,CD,BB,51,21,0,1,mert.ozturk@sandbox.opba.com,Mert,Öztürk,Mert Öztürk
104,naz0104,30,0.2,CB,BB,278,-1,0,0,naz.bulut@sandbox.opba.com,Naz,Bulut,Naz Bulut
105,can0105,40,0.9,CB,BB,115,-1,0,1,can.aksoy@sandbox.opba.com,Can,Aksoy,Can Aksoy
106,rabia0106,10,0.9,CA,BC,64,26,0,1,rabia.ozdemir@sandbox.opba.com,Rabia,Özdemir,Rabia Özdemir
