_id,userId,bankName,cardNumber,cardHolderName,balance,currency,isActive,lastSyncedAt,createdAt,source,description
"{""$oid"": ""ae4898d3064a343979ea99a3""}","{""$oid"": ""dfd05de1212b9b197a954d73""}",İş Bankası,8911214045501555,Elif Öztürk,19096.39,USD,True,"{""$date"": ""2025-12-21T01:00:54.699000Z""}","{""$date"": ""2025-12-25T08:37:54.699000Z""}",mock,Kredi Kartım
"{""$oid"": ""0da9d5b3f54b62a58aae1f33""}","{""$oid"": ""1ac8e9af6c435b630db51495""}",Garanti Bankası,2191351021125252,Merve Avcı,3214.75,TRY,True,"{""$date"": ""2025-12-24T10:55:54.699000Z""}","{""$date"": ""2025-12-25T08:34:54.699000Z""}",mock,Maaş Kartım
"{""$oid"": ""eca85f36bdaaeae581243121""}","{""$oid"": ""5e2eb3b69878b03354f82960""}",Akbank,1237834620090761,Ali Tekin,11905.66,USD,True,"{""$date"": ""2025-12-22T12:25:54.699000Z""}","{""$date"": ""2025-12-25T08:31:54.699000Z""}",manuel,Banka Kartım
"{""$oid"": ""75dc55ca8e97817293fd0bb7""}","{""$oid"": ""c970305faaf820db7df8c09f""}",İş Bankası,8335741020150250,Emre Demir,12888.18,EUR,False,"{""$date"": ""2025-12-20T20:05:54.699000Z""}","{""$date"": ""2025-12-25T08:28:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""bd6452661fe9a5bf6563bffd""}","{""$oid"": ""44fde454fb7a712f19f94b83""}",Garanti Bankası,4357644909277437,Esra Özdemir,5928.0,TRY,False,"{""$date"": ""2025-12-19T00:10:54.699000Z""}","{""$date"": ""2025-12-25T08:25:54.699000Z""}",openbanking,Banka Kartım
"{""$oid"": ""519a6f30e90f44c1c7309a99""}","{""$oid"": ""db550a334fa5528649913437""}",Akbank,5632722782652632,Sümeyye Yavuz,11514.36,EUR,True,"{""$date"": ""2025-12-20T18:31:54.699000Z""}","{""$date"": ""2025-12-25T08:22:54.699000Z""}",openbanking,Günlük Harcamalar
"{""$oid"": ""41e77f2e65068f8ac002c320""}","{""$oid"": ""0d15054f3b4af699b1c0603c""}",İş Bankası,3593341882153100,Arda Kurt,17352.2,TRY,True,"{""$date"": ""2025-12-21T17:17:54.699000Z""}","{""$date"": ""2025-12-25T08:19:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""74fcf0c75ad20d11cbe1280d""}","{""$oid"": ""a86e236d6d582456067fd225""}",Garanti Bankası,3725035622733606,Oğuz Şahin,17088.79,USD,True,"{""$date"": ""2025-12-18T11:09:54.699000Z""}","{""$date"": ""2025-12-25T08:16:54.699000Z""}",mock,Günlük Harcamalar
"{""$oid"": ""ee39865f1ff126ae34d68bf2""}","{""$oid"": ""87f1f5f040df74ed242c47c6""}",Akbank,2627101230328226,Aylin Güneş,2163.28,TRY,True,"{""$date"": ""2025-12-21T15:19:54.699000Z""}","{""$date"": ""2025-12-25T08:13:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""bc59eb85cc25d59a78771f45""}","{""$oid"": ""8aa3c914a0b94a47b2f65103""}",İş Bankası,9050153888743953,Kadir Bulut,13637.74,USD,True,"{""$date"": ""2025-12-23T03:31:54.699000Z""}","{""$date"": ""2025-12-25T08:10:54.699000Z""}",openbanking,Maaş Kartım
