_id,name,surname,username,password,email,phone,language,currency,theme,securityQuestion,securityAnswer,createdAt,updatedAt
{'$oid': 'dfd05de1212b9b197a954d73'},Elif,Öztürk,elif.ozturkd702,$2b$10$6m6J48fc7BZwPJ.vdNCtX7RukaucKGsN6m6J48fc7BZwPJ.vdNCtX,elif.ozturkd702@example.com,5744750487,tr,EUR,dark,Doğduğunuz şehir neresi?,$2b$10$QVZqwW4CxJpRpYpBLsgwh2MFE5IezjOwQVZqwW4CxJpRpYpBLsgwh,{'$date': '2025-12-23T09:53:41.851000Z'},{'$date': '2025-12-23T09:53:41.851000Z'}
{'$oid': '1ac8e9af6c435b630db51495'},Merve,Avcı,merve.avci3117,$2b$10$OtcZLsqlMorSOjEZxmb5WgSl5DK28/VYOtcZLsqlMorSOjEZxmb5W,merve.avci3117@example.com,5359335442,en,TRY,light,Annenizin kızlık soyadı nedir?,$2b$10$qTcKtXCTLaju0vxeWwlMqMOV5JCt1a/1qTcKtXCTLaju0vxeWwlMq,{'$date': '2025-12-22T09:53:41.851000Z'},{'$date': '2025-12-22T09:53:41.851000Z'}
{'$oid': '5e2eb3b69878b03354f82960'},Ali,Tekin,ali.tekinb759,$2b$10$/zoD3dB4Kunne3oPTNqp7MhlW5jCplXq/zoD3dB4Kunne3oPTNqp7,ali.tekinb759@example.com,5567553355,en,EUR,dark,Doğduğunuz şehir neresi?,$2b$10$Xugo0TuC/6VNO8niTpUU2TjkM.461g/iXugo0TuC/6VNO8niTpUU2,{'$date': '2025-12-21T09:53:41.851000Z'},{'$date': '2025-12-21T09:53:41.851000Z'}
{'$oid': 'c970305faaf820db7df8c09f'},Emre,Demir,emre.demir11a6,$2b$10$v2W48PI1ThJTv7.GusSdNjv5LLDHW061v2W48PI1ThJTv7.GusSdN,emre.demir11a6@example.com,5378042937,en,TRY,light,İlk evcil hayvanınızın adı nedir?,$2b$10$UU4CDtahF0GcCpod/N7eule.bqoHjLKaUU4CDtahF0GcCpod/N7eu,{'$date': '2025-12-20T09:53:41.851000Z'},{'$date': '2025-12-20T09:53:41.851000Z'}
{'$oid': '44fde454fb7a712f19f94b83'},Esra,Özdemir,esra.ozdemir157f,$2b$10$V4kqdiLGpEgRX5Obq1RrjvEnURqUjIddV4kqdiLGpEgRX5Obq1Rrj,esra.ozdemir157f@example.com,5426315042,en,USD,dark,İlkokul öğretmeninizin adı nedir?,$2b$10$VPr2i4uk3eQEnsTqjJfHTs/6vq1kpC25VPr2i4uk3eQEnsTqjJfHT,{'$date': '2025-12-19T09:53:41.851000Z'},{'$date': '2025-12-19T09:53:41.851000Z'}
{'$oid': 'db550a334fa5528649913437'},Sümeyye,Yavuz,sumeyye.yavuzd207,$2b$10$AsMvYH97TAuPKoQ5TAlJK75gUJj9l/DBAsMvYH97TAuPKoQ5TAlJK,sumeyye.yavuzd207@example.com,5572272991,en,USD,light,İlk evcil hayvanınızın adı nedir?,$2b$10$MLlkeC/Y9ZKLsMt.VxY3ujG5SRzOdrFdMLlkeC/Y9ZKLsMt.VxY3u,{'$date': '2025-12-18T09:53:41.851000Z'},{'$date': '2025-12-18T09:53:41.851000Z'}
{'$oid': '0d15054f3b4af699b1c0603c'},Arda,Kurt,arda.kurt019e,$2b$10$Mm9PQ0We8Ns6EVyNXr3WjoR02GQFfkkwMm9PQ0We8Ns6EVyNXr3Wj,arda.kurt019e@example.com,5493532594,tr,TRY,dark,Annenizin kızlık soyadı nedir?,$2b$10$yUPZIGisUXa0LbIaxsJd9vlzvs1Dp04ayUPZIGisUXa0LbIaxsJd9,{'$date': '2025-12-17T09:53:41.851000Z'},{'$date': '2025-12-17T09:53:41.851000Z'}
{'$oid': 'a86e236d6d582456067fd225'},Oğuz,Şahin,oguz.sahind5bf,$2b$10$tDdmu.CrzFa7PLFuvUV1mrCgJVCPTLBKtDdmu.CrzFa7PLFuvUV1m,oguz.sahind5bf@example.com,5817369318,en,EUR,light,İlk evcil hayvanınızın adı nedir?,$2b$10$ufgsdeBJhsXCSh01/zlFld.Tjevf7vekufgsdeBJhsXCSh01/zlFl,{'$date': '2025-12-16T09:53:41.851000Z'},{'$date': '2025-12-16T09:53:41.851000Z'}
{'$oid': '87f1f5f040df74ed242c47c6'},Aylin,Güneş,aylin.gunes8397,$2b$10$ZbiYa955Koi42YrHnSG0WYlBuALzkNIvZbiYa955Koi42YrHnSG0W,aylin.gunes8397@example.com,5657327972,tr,USD,dark,Doğduğunuz şehir neresi?,$2b$10$ehr4R5iPUgZ5K.Dv9ua47XvgQ46JD7nkehr4R5iPUgZ5K.Dv9ua47,{'$date': '2025-12-15T09:53:41.851000Z'},{'$date': '2025-12-15T09:53:41.851000Z'}
{'$oid': '8aa3c914a0b94a47b2f65103'},Kadir,Bulut,kadir.bulut7b94,$2b$10$949rNckYfe1yeUZdIzOhI8Ti79G6EY8P949rNckYfe1yeUZdIzOhI,kadir.bulut7b94@example.com,5886143174,en,TRY,light,Doğduğunuz şehir neresi?,$2b$10$04DtSZSm7FGHW63cDVL7Qwgq/Gae5lbf04DtSZSm7FGHW63cDVL7Q,{'$date': '2025-12-14T09:53:41.851000Z'},{'$date': '2025-12-14T09:53:41.851000Z'}
